lat,lon
14.6420775,120.9864341
14.7334761,121.0285852
14.6799259,121.1046339
14.6986303,121.0169085
14.5408882,121.0718097
14.6432562,121.0475174
14.6939307,121.0917514
14.6362574,121.0312848
14.6807345,121.0139163
14.5078520,121.0061068
14.5398413,121.0730736
14.4677923,120.9710108
14.5087076,120.9908778
14.7458113,121.0507066
14.5192206,121.0215662
14.6576041,121.0599926
14.6097101,120.9822882
14.7799418,121.0372745
14.6272484,121.0294386
14.7855067,121.0301512
14.4855394,121.0514248
14.7106289,120.9901826
14.7147940,120.9496383
14.5659417,121.0704356
14.6233541,121.0135338
14.4366091,120.9884119
14.7476806,121.0737639
14.5691168,121.0313251
14.6591280,121.0701532
14.7623089,121.0315072
14.4386900,120.9944704
14.6594857,121.1288386
14.6297218,121.0977416
14.6185595,121.1065442
14.6887031,121.0020567
14.4747417,121.0057612
14.5923862,121.0395259
14.5295940,121.0180022
14.7125893,120.9681389
14.5014890,121.0608518
14.5450767,121.0457950
14.5854863,121.0349522
14.7128632,121.0955370
14.4203621,121.0278309
14.7051060,120.9756806
14.7116194,120.9658579
14.6003721,121.0472766
14.7029150,120.9726154
14.7795863,121.0643312
14.6917087,120.9902656
14.6567071,120.9452046
14.6496533,121.1309080
14.6591647,120.9511178
14.7003029,121.1024630
14.6482338,121.0919460
14.4192214,121.0398287
14.5781889,121.0590541
14.6955188,121.1159839
14.5017205,121.0305480
14.5171177,121.0258642
14.3602436,121.0138789
14.5634222,121.0292393
14.4795534,121.0162389
14.6578540,121.0313418
14.6827117,121.0790527
14.5516802,121.0479338
14.7841667,121.0494999
14.4775369,121.0186814
14.7360843,120.9982696
14.7547870,121.0610515
14.5892127,121.0505271
14.5607624,121.0537479
14.6972255,121.0597833
14.6783619,120.9745767
14.4972539,121.0299919
14.5632482,121.0388079
14.5921851,121.0395214
14.6188844,121.1027084
14.5393744,121.0754100
14.7321066,121.0595046
14.4312702,120.9880971
14.5229905,121.0131450
14.6789635,121.0708986
14.6754195,121.0178172
14.6222348,120.9722895
14.6839404,121.0935876
14.5429011,121.0750893
14.6336836,121.0564280
14.6795348,121.0709665
14.4539384,120.9935579
14.7162526,120.9788191
14.7287544,121.0187897
14.7359048,121.0544007
14.6655718,121.0440722
14.5040664,121.0013224
14.4890757,120.9999872
14.6384886,121.0380336
14.7030002,120.9556918
14.7510870,121.0523042
14.5354602,121.0693342
14.4357310,121.0040048
14.6643314,121.0722128
14.5131640,120.9956194
14.5527466,121.0266807
14.7489271,121.0125906
14.6083456,121.0216653
14.6217161,121.0239032
14.6856172,120.9885371
14.7334647,121.0095273
14.5790800,121.0495906
14.7158597,121.0114804
14.5889197,120.9808582
14.6774214,121.0752247
14.5894164,121.0068140
14.6014984,121.0060447
14.5474362,121.0452705
14.7412327,121.0061712
14.5894888,120.9766111
14.5592214,121.0158393
14.3977354,121.0009356
14.5761094,121.0801583
14.6774478,121.0125561
14.7008883,121.1069946
14.5613079,121.1003789
14.6510807,121.0494238
14.5655459,121.0268093
14.4148531,120.9873401
14.4311125,121.0500462
14.6351382,121.0611257
14.6323633,121.0688961
14.6544529,120.9492975
14.4739604,121.0245537
14.6370103,121.0513639
14.6622789,120.9841892
14.7869071,121.0308409
14.6777803,121.0449819
14.6611611,121.0539888
14.6577819,120.9896415
14.6460393,120.9806892
14.5352198,121.0606503
14.7038252,121.0510379
14.5892351,121.0068358
14.6191274,121.0389593
14.5901333,121.0177241
14.5540530,121.0229936
14.7185660,120.9758736
14.5041075,121.0271705
14.6587434,121.1291565
14.5813527,121.0851445
14.5884072,121.0891784
14.6192969,121.0509949
14.5399406,121.0932921
14.4107965,121.0134488
14.6163438,121.0923867
14.5204050,121.0140062
14.5626785,120.9853914
14.5574785,120.9854063
14.4305312,120.9987609
14.5865186,121.0885894
14.6944638,120.9641239
14.6931403,120.9731995
14.5922227,121.0058755
14.6966145,120.9735805
14.6660376,121.0500078
14.6112775,121.0627296
14.5576040,121.0844259
14.5868107,121.0567776
14.6591117,121.0345127
14.6645149,121.0004893
14.7271379,121.0382745
14.7131193,120.9610096
14.5519676,121.0564204
14.6421071,121.0740715
14.3667853,121.0102431
14.6596150,120.9700287
14.5843284,120.9877941
14.5689702,121.0140604
14.6540721,120.9981376
14.7022317,121.0449775
14.6386959,121.0417327
14.5354885,120.9874654
14.5689207,120.9932088
14.6178245,120.9712000
14.5820214,121.0544426
14.6345945,121.0744870
14.5207183,121.0333085
14.5898760,121.0632237
14.4991970,121.0542765
14.6354725,121.1206622
14.6167926,121.1026822
14.7201309,121.0458128
14.7066955,120.9613440
14.5876305,121.1123704
14.7640880,121.0541324
14.6522232,121.1202069
14.7329258,121.0433247
14.6177981,121.0625313
14.6552201,121.1069928
14.5914539,121.0870757
14.4668107,121.0220110
14.6411155,121.0921340
14.5380311,121.0675021
14.5473558,121.0496866
14.4641860,121.0503461
14.7571409,120.9920805
14.5574776,121.0129259
14.7473453,121.1208474
14.5417932,120.9839272
14.7461118,121.0742658
14.6415537,121.0153067
14.6367673,121.0909654
14.5548383,121.0627846
14.4200816,121.0345854
14.6597631,121.0611538
14.6314971,120.9827031
14.6992499,120.9792669
14.5263577,121.0470477
14.6113708,120.9911072
14.7016194,121.1143706
14.6342782,121.0964006
14.5933824,120.9801143
14.5812412,121.0048561
14.7195094,121.0129742
14.5516314,121.0487823
14.7560655,121.0434273
14.4455993,121.0451405
14.6838591,120.9881040
14.5670530,121.0150114
14.5405346,121.1012849
14.6027065,120.9614588
14.3907034,121.0110798
14.7118281,121.0525389
14.5764298,120.9880005
14.7794744,121.0495711
14.7085228,121.0236083
14.7697278,121.0303671
14.5650057,121.0703294
14.7089347,121.1002254
14.6535818,121.0470085
14.6051984,120.9820846
14.6967613,121.0157233
14.7278908,121.1172251
14.5935662,120.9785268
14.6474972,121.0484176
14.7032194,121.0568852
14.5435594,121.1112896
14.5689460,121.0249546
14.5361127,120.9967303
14.7003696,121.0069470
14.6420582,121.0242461
14.5800538,121.0455582
14.5190342,121.0777891
14.5638715,121.0824775
14.7070652,121.0667156
14.7019294,121.0889744
14.6960107,121.0729580
14.6880400,120.9548941
14.6491779,121.1321504
14.6735232,121.0246979
14.6514148,120.9990558
14.4728147,120.9858997
14.6762623,121.0018085
14.5688500,121.0013777
14.4603769,120.9983434
14.6551072,121.0270905
14.4641118,120.9867253
14.6982320,121.0293080
14.6647615,121.0018109
14.6930609,121.0174781
14.7102396,121.0511133
14.5320358,120.9890338
14.6443791,121.0915646
14.4524595,121.0256293
14.5384933,120.9982463
14.6022054,120.9677632
14.5774648,120.9935484
14.5477787,121.0127713
14.6827955,121.0403546
14.5789109,121.1067884
14.7161494,121.1025340
14.5847108,121.0158918
14.7761532,121.0499850
14.6489162,120.9759736
14.6955865,120.9775207
14.5215093,121.0141516
14.7596414,121.0415246
14.6086510,121.0800211
14.6644203,121.1099753
14.6873599,120.9905345
14.5564937,121.0553557
14.6580792,120.9839728
14.7003715,121.0124933
14.6681011,121.0431842
14.6363174,121.0942546
14.5441268,121.0570769
14.6626738,121.1214636
14.5391205,121.0699200
14.6842005,121.0885091
14.7412321,121.0084819
14.7239463,121.0339762
14.6579134,121.1114401
14.5726623,121.0049848
14.5248484,121.0263602
14.4102705,121.0184672
14.7023815,121.1141852
14.3993736,121.0380657
14.6076760,121.0069049
14.5689024,121.0202864
14.4757753,121.0598758
14.6039674,120.9980173
14.6735948,120.9649673
14.6592728,121.0464511
14.4881913,120.9893874
14.6688580,120.9992835
14.6547656,120.9655003
14.7677049,121.0344689
14.7122090,121.0125640
14.5347376,121.0294325
14.6751666,120.9445073
14.6472800,121.1062258
14.4865116,120.9977121
14.6584982,120.9496735
14.5494318,121.0287405
14.5966438,121.1100210
14.7692535,121.0900239
14.6711166,120.9603873
